Model Arc,Model,dataset,training_size,validation_size,test_size,num_points,lr,batch_size,epochs,dropout,emb_dims,optimizer,Train Best MSE,Best model R2,Test MSE,Test MAE,Test Max MAE,Test R2,best_model
PointNet,RegPointNet,AhmedML,200,75,75,30000,0.001,8,200,0.1,1024,adam,0.0095673370071583,-1.680079460144043,0.014061733873354,0.1023303882943259,0.1413429677486419,-3.9905409812927246,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts30000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,40000,0.001,8,200,0.1,1024,adam,0.0040508113128857,-6.629944324493408,0.0062570217996835,0.0620754704707198,0.0881185606122016,-5.825804233551025,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts40000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,50000,0.001,8,200,0.1,1024,adam,0.0042418332822206,-1.4556453227996826,0.0054757040278572,0.0553374820285373,0.0798968598246574,-0.6728235483169556,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts50000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,60000,0.001,8,200,0.1,1024,adam,0.0031214542816289,-2.890094518661499,0.0046300011066099,0.0533727233608563,0.0749645382165908,-5.353871822357178,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts60000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,70000,0.001,8,200,0.1,1024,adam,0.0036948876093245,-3.0591821670532227,0.006816719374102,0.0652192379865381,0.0945220217108726,-5.652501583099365,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts70000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,80000,0.001,8,200,0.1,1024,adam,0.0045128080269528,-1.624884843826294,0.0059085463484128,0.0633494431773821,0.0795246288180351,-2.2167768478393555,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts80000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,10000,0.001,8,200,0.1,1024,adam,0.0005220672254735,-1.56677508354187,0.0015976769047685,0.0259320152302583,0.0346212498843669,-6.605834484100342,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts10000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,WindsorML,200,75,75,20000,0.001,8,200,0.1,1024,adam,0.0228894586778349,-0.4030410051345825,0.0217615738511085,0.1081207113133536,0.1413632035255432,-0.4738383293151855,20250305_batch_train_size_200_WindsorML_PointNet_RegPointNet_ts200_bs8_epochs200_pts20000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,100000,0.001,8,200,0.1,1024,adam,0.0065492039753331,-4.768985271453857,0.0089487449990378,0.0756912243862946,0.0970753729343414,-5.065078258514404,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts100000_lr0.001_drop0.1_best_model.pth
PointNet,RegPointNet,AhmedML,200,75,75,110000,0.001,8,200,0.1,1024,adam,0.003296008061928,-19.583066940307617,0.0039334944708065,0.0507310123907195,0.0718734487891197,-13.041966438293455,20250305_batch_train_size_200_AhmedML_PointNet_RegPointNet_ts200_bs8_epochs200_pts110000_lr0.001_drop0.1_best_model.pth
