Model,Dataset,training_size,validation_size,test_size,num_points,lr,batch_size,epochs,dropout,emb_dims,optimizer,Train Best MSE,Test MSE,Test MAE,Test Max MAE,Test R2,best_model
pointnet,AhmedML,250,75,75,50000,0.001,8,200,0.1,1024,adam,0.0025924582086089,0.0045337657340698,0.0516327834791607,0.0724977850914001,-6.8669843673706055,ahmedml_pointnet_ts250_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,50,75,75,50000,0.001,8,200,0.1,1024,adam,0.0034943333206077,0.0049919755353281,0.0556163498096995,0.0710768923163414,-11.045700073242188,ahmedml_pointnet_ts50_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,50000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0062065777989725,0.0603309228188461,0.078275941312313,-3.5444869995117188,ahmedml_pointnet_ts350_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,100,75,75,50000,0.001,8,200,0.1,1024,adam,0.0023232556413859,0.0033549135809557,0.0481160763237211,0.0760169923305511,-3.6348609924316406,ahmedml_pointnet_ts100_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,300,75,75,50000,0.001,8,200,0.1,1024,adam,0.0027365214967479,0.0046221741164724,0.0552138326068719,0.0775847062468528,-30.59998321533203,ahmedml_pointnet_ts300_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,25000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts25000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,200,75,75,50000,0.001,8,200,0.1,1024,adam,0.0027144483626923,0.0038777949650668,0.0505713861849572,0.0747668594121933,-5.09180212020874,ahmedml_pointnet_ts200_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,150,75,75,50000,0.001,8,200,0.1,1024,adam,0.0027783793888779,0.0039904713889376,0.0502367383903927,0.0724229216575622,-10.205170631408691,ahmedml_pointnet_ts150_bs8_epochs200_pts50000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,100000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts100000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,75000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts75000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,175000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts175000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,150000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts150000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,125000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts125000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,225000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts225000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,200000,0.001,8,200,0.1,1024,adam,0.0019500861655817,0.0032011864758614,0.044825817975733,0.0662594810128212,-3.178674697875977,ahmedml_pointnet_ts350_bs8_epochs200_pts200000_lr0.001_drop0.1_20250227_best_model.pth
pointnet,AhmedML,350,75,75,250000,0.001,8,200,0.1,1024,adam,0.0019500861655817265,0.0032011864758614036,0.04482581797573301,0.0662594810128212,-3.1786746978759766,ahmedml_pointnet_ts350_bs8_epochs200_pts250000_lr0.001_drop0.1_20250227_best_model.pth
